2018-05-29 12:54:29 [main] INFO  tlvparser.TlvParserTest - lookup
2018-05-29 16:04:06 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:04:06 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:04:06 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:04:06 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:04:06 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:04:06 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:04:06 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:04:06 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:06:46 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:46 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:46 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:06:46 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:06:46 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:46 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:46 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:46 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:06:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:59 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:06:59 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:06:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:06:59 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:07:03 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:07:03 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:07:03 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:07:03 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:07:03 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:07:03 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:07:03 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:07:03 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:07:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:07:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
